Sample,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60, 
OTU35,0.002625298,0.002306509,0,0,0.006470807,0.019482614,0.002414487,0,0.00032213,0,0,0,0,0.001323676,0.001070091,0.000137495,0.008678571,0,0,0,0,0,0.000335999,0,0.006219228,0.001401768,0.002301933,0.018041237,0.002505369,0.000964134,0,0,0.007763975,0.002436228,0.002633201,0.002919396,0.000323638,0.002554061,0.001183992,0.003453726,0.003127932,0.000744934,0.011441813,0.006807108,0.000652103,0,0,0.00361991,0.002103049,0,0,0.00459674,0.004132231,0.00128,0.000328747,0,0.005082212,0.012847404,0,0,
OTU36,0,0,0,0,0,0,0,0,0,0,0,0,0.000357416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000446961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OTU37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000223489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OTU38,0,0,0,0,0,0.000387072,0,0,0.00032213,0,0,0.000726275,0.000663773,0.000524476,0,0,0.000142857,0,0,0,0,0.002050231,0,0,0,0,0.000357582,0,0,0,0,0,0,0,0.000280128,0,0,0.002554061,0,0.001346368,0,0.001638856,0,0,0,0,0,0.00158371,0.001051525,0.00370981,0,0.000835771,0,0.00096,0,0,0,0,0,0,
OTU39,0,0,0,0,0.000223131,0,0,0,0,0,0.000585366,0.000564881,0,0.000174825,0,0,0,0,0,0,0,0,0.000268799,0,0,0,0.000156442,0,0,0,0,0,0,0,0.000224102,0,0.000404547,0,0,0,0,0,0,0,0.000489077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OTU40,0,0,0,0,0.001041279,0,0,0,0,0,0.000390244,0,0,0,0,0.000206242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00057323,0.000280128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OTU41,0,0,0.000894988,0.000608828,0.001041279,0.001677311,0,0,0,0,0,0,0.002706153,0.0004995,0,0.001168706,0.001464286,0,0,0,0,0,0.000403199,0,0,0.000970455,0.002100793,0,0,0.001735442,0,0,0,0,0.000728332,0.000712048,0.000525911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000328747,0,0.001195815,0,0,0.001240951,
OTU42,0.135560859,0.165299846,0.247315036,0.02283105,0.137523243,0.035223534,0.025620389,0.077777778,0.108665307,0.099015634,0.081268293,0.105148483,0.27429155,0.097602398,0.04200107,0.049704386,0.043071429,0.19361483,0.062586286,0.194787838,0.239448052,0.258329062,0.174417042,0.084516342,0.138636953,0.148803105,0.322605878,0.040270619,0.175017895,0.24604705,0.307536246,0.072060994,0.09057971,0.135568931,0.334416494,0.078538878,0.101622234,0.006640558,0.012787118,0.020722356,0.02361589,0.018474374,0.020493881,0.043887934,0.384577763,0.408168749,0.043478261,0.053846154,0.101735016,0.138499588,0.049313358,0.100710405,0.285812672,0.15712,0.230967924,0.063782447,0.24245142,0.110644992,0.095282146,0.083350569,
OTU43,0.005011933,0,0.001342482,0,0,0.002064383,0,0.007008547,0.006442607,0.028517661,0.001756098,0,0.025121266,0.007992008,0.006153023,0,0,0,0,0.004009355,0,0.004613019,0.000302399,0,0,0,0,0,0.003937008,0.001156961,0,0.001721594,0,0,0.005770631,0,0.002184554,0,0,0.002751273,0.001876759,0,0,0.00322442,0.002119335,0,0,0.002036199,0,0,0.001872659,0,0,0.0072,0,0,0,0,0,0,
OTU44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000111744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000140891,0,0,0,0,0,
